Generator,MMD,Wasserstein_Distance,Mean_Euclidean_Distance,KL_Divergence,Trace_Difference,FID_Score,Precision,Coverage
fm_100_steps,0.002438068389892578,0.045956270592711235,2.235609769821167,1211.2971709522492,-23.659502692203944,70.4035307945212,0.835,0.736
fm_guided_combo_max,0.002397775650024414,0.06239610698889919,4.135991096496582,3983.1963059292643,-134.68125669752806,126.81384021184363,0.865,0.648
fm_guided_combo_maxmin,0.0015025138854980469,0.05543810030212626,2.9884252548217773,2420.655490504568,-115.55180867282462,106.06297282580158,0.89,0.678
fm_guided_combo_maxmin_tune_1a,0.0017006397247314453,0.07280641707423285,4.531767845153809,1033.791114065603,-86.84730097821023,105.35219406433669,0.84,0.638
fm_guided_combo_maxmin_tune_1b,0.0013637542724609375,0.04618160747196498,2.49892258644104,943.6836320063708,-154.473733143782,101.83468888144512,0.91,0.782
fm_guided_combo_maxmin_tune_2a,0.0017256736755371094,0.05601824759385465,3.83247709274292,770.1754120264777,-40.68135908362524,69.5406594418505,0.9,0.718
fm_guided_combo_maxmin_tune_2b,0.0015184879302978516,0.06570681158586922,4.072568893432617,1414.5528634719828,-116.84038193480251,115.88780478181775,0.91,0.724
fm_guided_combo_minmax,0.0013710260391235352,0.06806529582928533,4.284389495849609,2590.525627416658,-22.124816189509033,84.70094477968303,0.875,0.724
fm_guided_gmm_max,0.002702474594116211,0.05975890356381797,4.078006267547607,1247.335705845401,-5.52985466480078,59.92426912531948,0.935,0.722
fm_guided_surprise_max,0.0021028518676757812,0.07310659005509024,4.267496109008789,3593.9785099248484,-60.17522373995297,84.29623742982017,0.91,0.662
