Generator,MMD,Wasserstein_Distance,Mean_Euclidean_Distance,KL_Divergence,Trace_Difference,FID_Score
fm_100_steps,2.3345952e-09,0.11354531671446216,14.679474,145700.7752102247,-0.02036705002700323,223.72026423381553
sd15_r4,5.4267886e-08,0.06171075837282203,7.343225,2947390.7641722457,-23.866555315625682,73.20374312688983
sd15_r8,3.3111576e-09,0.04364900282872641,5.5282426,20267844.402562402,-21.65544946966208,47.26191885925127
sd15_r16,1.2969971e-08,0.039684126186199764,3.5521624,101938.25670268448,4.24052315355228,17.518113400317187
